name,price,disc_price,brand,product_details,ratings
Water Sleeping Mask (70ml),RM100,RM69,LANEIGE,"Wake up beautiful with the world's best-selling sleeping mask! With 1 sold every 12 secs, this light gel mask provides intensive hydration, vitality and brightening effect while restoring skin with deep relaxation. This product contains a number of patents including the SLEEP-TOX™ technology that purifies skin during sleep, keeping it in optimum condition while MOISTURE WRAP™ helps skin retain moisture throughout the night. It also has an aromatic SLEEPSCENT™ helps you relax during sleep. Best of all, it’s also formulated with skin soothing agents that are gentle on the sleeping skin, helping it to recover overnight.",4.83 stars
Green Tea Seed Serum (80ml),RM96,RM60,INNISFREE,"Green tea does more than give you a midday pick-me-up after a heavy lunch, it's fantastic for your skin too! Innisfree harnessed the goodness of green tea seeds from Jeju island to provide the skin with moisturization and protection from external factors. This concentrate also contains fresh green tea that's rich in amino acids to hydrate the skin from within while preventing moisture loss to keep your skin feeling soft and supple all day.",4.76 stars
Aloe Vera 92% Soothing Gel (300ml),RM25,RM18,NATURE REPUBLIC,"Made from 92% Aloe Vera gel, Nature Republic Aloe Vera Soothing Gel is enriched with vitamins and can be used for just about anything, from soothing sunburns to hydrating the skin and hair in the form of a mask, to an everyday moisturizer for supple skin. The aloe vera used to make this product comes from certified organic farmers in California (CCOF) and is kind to even the most sensitive of skins, making this suitable for all skin types. No wonder this is one of the best selling products around and has sold over 1.5 million units!",4.82 stars
Green Tea Foam Cleanser (150ml),RM36,RM27,INNISFREE,"Just like a pick-me-up cuppa in the middle of the day, Innisfree's Green Tea Foam Cleanser is a refreshing and antioxidant packed boost for your skin! This mild cleanser contains organic green tea extracts hailing from Jeju Island, together with kaolin to cleanse away impurities from your skin without drying it out. This product lathers up into fine bubbles for a fresh complexion while keeping it moisturised from within. The best part? This baby is formulated without irritants like synthetic colourants, mineral oils, animal origin products and imidazolidine urea.",4.77 stars
Rose Water Toner (250ml),RM55,RM42,MAMONDE,"Roses are a household name when it comes to familiar scents. Not just sweet smelling, MAMONDE Rose Water Toner is made with 90.97% Bulgarian Damask Rosewater that's lovely for soothing and hydrating your skin while cleansing away dirt and dead skin cells. The best thing about this product is it's formulated 3-free: without synthetic pigments, animal oils or mineral oils, making this ideal even for those with sensitive skin. You'll be on your way to rosy skin in no time!",4.77 stars
Super Volcanic Pore Clay Mask 2X (100ml),RM56,RM36,INNISFREE,"Some superheroes come in capes, while others come in the form of a clay mask like this one from Innisfree! This 6-in-1 clay mask claims to minimize pores, control sebum, exfoliate, deep cleanse, brighten skin tone and cool down the skin. This baby contains volcanic extract and ""super volcanic capsules"" that burst upon application, removing dead skin as it pampers your face with its goodness. The best part? It doesn't contain any mineral oils, animal products, artificial fragrances or imidazolidinyl urea so it won't irritate the skin. No wonder it’s one of Innisfree’s bestsellers, and loved by beauty junkies all over the world!",4.74 stars
Clean it Zero Cleansing Balm (100ml)_Original,RM75,RM51,BANILA CO,"We know how difficult and tedious makeup removal is; it can sometimes feel like a war that stubborn waterproof products are winning. Banila Co.'s Clean It Zero Cleansing Balm is our secret weapon to clean, fresh skin! This silky balm melts away dirt, residue and long wearing makeup, emulsifying with water into a milk-coloured solution that washes everything down the drain. Loved by beauty enthusiasts and celebrities alike, the Original version is suitable for all skin types. A definite must-have in your stash that'll keep your skin looking fresh and feeling supple.",4.79 stars
Jeju Volcanic Pore Cleansing Foam (150ml),RM34,RM24,INNISFREE,"Not all face cleansers are created equal, and sometimes you just need a little extra help with dirt and clogged pores. Innisfree's Jeju Volcanic Pore Cleansing Foam is infused with volcanic scoria that has amazing purifying properties, absorbing and controlling the excessive production of sebum on the skin without drying it out, leaving you with fresh, clean skin. We love the luxurious foam this suds up with too!",4.77 stars
9Complex Lifting Cream (70g),RM125,RM41,GUERISSON,"One of Korea's most raved and loved beauty products, GUERISSON 9Complex Lifting Cream gives your skin serious love with German horse oil that deeply moisturises any part of your body. Formulated with a complex of peppermint, apple mint leaf, sage, rosemary, lavender flower, Melissa Officinalis leaf, chamomile and Monarda Didyma Leaf extracts, this product also soothes irritations while improving cell metabolism, giving your skin horse-like strength for resilience. With Niacinamide and adenosine, this cream also has brightening properties which reduce scars and pigmentation, making you look glowy and radiant.",4.71 stars
Power 10 Formula VC Effector (30ml),RM35,RM25,IT'S SKIN,"Just like an espresso shot in the morning, IT'S SKIN Power 10 Formulas give your skin a little boost according to your skin's needs. This VC Effector is infused with vitamin C and green tea extracts that lighten dark spots and brightens your complexion. With hydrating properties that smoothen your skin texture as well, it's not hard to see why this is It's Skin's best seller from this range. This lightweight, fast absorbing concentrate applies on without leaving behind any sticky residue so it's super comfortable to wear on the skin. We love the fresh citrusy scent that it comes with too (reminds us of freshly squeezed orange juice!).",4.65 stars
