name,price,disc_price,brand,product_details,ratings,num_ratings
Water Sleeping Mask (70ml),S$35,S$22.90,LANEIGE,"Wake up beautiful with the world's best-selling sleeping mask! With 1 sold every 12 secs, this light gel mask provides intensive hydration, vitality and brightening effect while restoring skin with deep relaxation. This product contains a number of patents including the SLEEP-TOX™ technology that purifies skin during sleep, keeping it in optimum condition while MOISTURE WRAP™ helps skin retain moisture throughout the night. It also has an aromatic SLEEPSCENT™ helps you relax during sleep. Best of all, it’s also formulated with skin soothing agents that are gentle on the sleeping skin, helping it to recover overnight.",4.83 stars,2036 reviews
Acne Pimple Master Patch (24ea),S$4.50,S$3.70,COSRX,"Stickers are back in! You heard that right, but not for your 90's collection; we're talking about CosRX's Acne Pimple Master Patches for your face. These hydrocolloid spots are acne treatments that draw out impurities from troubled spots, effectively ridding the skin of unwanted bacteria and aiding in a smooth, easy heal. It also seals away the open wound from external bacteria, preventing scarring or secondary infections. Each packet comes with 24 patches in 3 different sizes (7mm, 10mm and 12mm) to blast away just about any sized spot!",4.58 stars,427 reviews
Rose Water Toner (250ml),S$20,S$14.40,MAMONDE,"Roses are a household name when it comes to familiar scents. Not just sweet smelling, MAMONDE Rose Water Toner is made with 90.97% Bulgarian Damask Rosewater that's lovely for soothing and hydrating your skin while cleansing away dirt and dead skin cells. The best thing about this product is it's formulated 3-free: without synthetic pigments, animal oils or mineral oils, making this ideal even for those with sensitive skin. You'll be on your way to rosy skin in no time!",4.77 stars,608 reviews
Power 10 Formula VC Effector (30ml),S$15,S$8.40,IT'S SKIN,"Just like an espresso shot in the morning, IT'S SKIN Power 10 Formulas give your skin a little boost according to your skin's needs. This VC Effector is infused with vitamin C and green tea extracts that lighten dark spots and brightens your complexion. With hydrating properties that smoothen your skin texture as well, it's not hard to see why this is It's Skin's best seller from this range. This lightweight, fast absorbing concentrate applies on without leaving behind any sticky residue so it's super comfortable to wear on the skin. We love the fresh citrusy scent that it comes with too (reminds us of freshly squeezed orange juice!).",4.65 stars,897 reviews
Clean it Zero Cleansing Balm (100ml)_Original,S$22.10,S$16.90,BANILA CO,"We know how difficult and tedious makeup removal is; it can sometimes feel like a war that stubborn waterproof products are winning. Banila Co.'s Clean It Zero Cleansing Balm is our secret weapon to clean, fresh skin! This silky balm melts away dirt, residue and long wearing makeup, emulsifying with water into a milk-coloured solution that washes everything down the drain. Loved by beauty enthusiasts and celebrities alike, the Original version is suitable for all skin types. A definite must-have in your stash that'll keep your skin looking fresh and feeling supple.",4.79 stars,290 reviews
Green Tea Seed Serum (80ml),S$29,S$19.90,INNISFREE,"Green tea does more than give you a midday pick-me-up after a heavy lunch, it's fantastic for your skin too! Innisfree harnessed the goodness of green tea seeds from Jeju island to provide the skin with moisturization and protection from external factors. This concentrate also contains fresh green tea that's rich in amino acids to hydrate the skin from within while preventing moisture loss to keep your skin feeling soft and supple all day.",4.76 stars,942 reviews
Time Revolution The First Treatment Essence Rx (150ml) (Renewal),S$50,S$30.90,MISSHA,NaN,4.76 stars,225 reviews
9Complex Lifting Cream (70g),S$45,S$13.80,GUERISSON,"One of Korea's most raved and loved beauty products, GUERISSON 9Complex Lifting Cream gives your skin serious love with German horse oil that deeply moisturises any part of your body. Formulated with a complex of peppermint, apple mint leaf, sage, rosemary, lavender flower, Melissa Officinalis leaf, chamomile and Monarda Didyma Leaf extracts, this product also soothes irritations while improving cell metabolism, giving your skin horse-like strength for resilience. With Niacinamide and adenosine, this cream also has brightening properties which reduce scars and pigmentation, making you look glowy and radiant.",4.71 stars,782 reviews
Jeju Volcanic Pore Cleansing Foam (150ml),S$11.60,S$8.30,INNISFREE,"Not all face cleansers are created equal, and sometimes you just need a little extra help with dirt and clogged pores. Innisfree's Jeju Volcanic Pore Cleansing Foam is infused with volcanic scoria that has amazing purifying properties, absorbing and controlling the excessive production of sebum on the skin without drying it out, leaving you with fresh, clean skin. We love the luxurious foam this suds up with too!",4.77 stars,776 reviews
Salicylic Acid Daily Gentle Cleanser (150ml),S$12.70,S$10.60,COSRX,"Rough, troubled skin is a definite no-no in our books, and that's why we look to COSRX's Salicylic Acid Exfoliating Gentle Cleanser for some TLC. Getting a cleanser that thoroughly cleanses but doesn't irritate can be a hard balance to strike, but thanks to salicylic acid, this gentle cleanser removes impurities while soothing redness and ensuring the complexion stays hydrated. It also contains natural BHA to exfoliate away dead skin cells while keeping the skin nice and supple to the touch, making it especially great for those of us with sensitive skins.",4.73 stars,536 reviews
Aloe Vera 92% Soothing Gel (300ml),S$10,S$7.50,NATURE REPUBLIC,"Made from 92% Aloe Vera gel, Nature Republic Aloe Vera Soothing Gel is enriched with vitamins and can be used for just about anything, from soothing sunburns to hydrating the skin and hair in the form of a mask, to an everyday moisturizer for supple skin. The aloe vera used to make this product comes from certified organic farmers in California (CCOF) and is kind to even the most sensitive of skins, making this suitable for all skin types. No wonder this is one of the best selling products around and has sold over 1.5 million units!",4.82 stars,2187 reviews
Aloe Vera 92% Soothing Gel Mist (150ml),S$10,S$6.30,NATURE REPUBLIC,"Ah, how refreshing! Made from 92% Aloe Vera gel, NATURE REPUBLIC Aloe Vera 92% Soothing Gel Mist is enriched with vitamins and is great for keeping the skin hydrated, soothed and cool throughout the day. The aloe vera used to make this product comes from certified organic farmers in California (CCOF) and is kind to even the most sensitive of skins, making this suitable for all skin types. Whether you like using this to set your makeup or to stay chill on a hot day, this is a definite must-have in your beauty routine!",4.81 stars,1022 reviews
Beauty Water (340ml),S$35,S$21.60,SON&PARK,"Son & Park's illusive Beauty Water isn't your average toner. It tones, cleanses, hydrates and exfoliates the skin, getting it ready to absorb the following steps of your beauty routine to its fullest potential. It's made with skin-loving ingredients that gently brighten the skin too, leaving you with a radiant supple complexion that's loved by K-beauty fanatics and K-pop stars alike. Here's a bonus tip: you can even dispense some of this into a small spray bottle and carry it in your purse to spritz on as a face mist throughout the day. Talk about making the most out of a product!",4.77 stars,150 reviews
Multi Deep-Clean Cleanser (150ml),S$30,S$20,LANEIGE,"Take cleansing a step further with LANEIGE Multi Deep-Clean Cleanser. This daily cleanser is formulated to gently strip off makeup, sunscreen, and the most stubborn dead skin cells to rejuvenate the skin. Your skin will also feel moisturized and brighter - thanks to the blueberry extract contained in this cleanser!",4.79 stars,317 reviews
Low PH Good Morning Gel Cleanser (150ml),S$16.20,S$12.40,COSRX,"Are you a morning person? Now you can be with CosRX's Low PH Good Morning Gel Cleanser! This specially formulated gel cleanser is slightly acidic to suit the skin's natural pH level for a healthy environment. It also helps to exfoliate dead skin cells, shrink enlarged pores and treats blemishes for a fresh, flawless complexion. Best of all, it doesn't dehydrate the skin and the formula is super gentle, making it suitable even for those of us with sensitive skin.",4.76 stars,323 reviews
Green Tea Foam Cleanser (150ml),S$12,S$9.10,INNISFREE,"Just like a pick-me-up cuppa in the middle of the day, Innisfree's Green Tea Foam Cleanser is a refreshing and antioxidant packed boost for your skin! This mild cleanser contains organic green tea extracts hailing from Jeju Island, together with kaolin to cleanse away impurities from your skin without drying it out. This product lathers up into fine bubbles for a fresh complexion while keeping it moisturised from within. The best part? This baby is formulated without irritants like synthetic colourants, mineral oils, animal origin products and imidazolidine urea.",4.77 stars,510 reviews
Super Volcanic Pore Clay Mask 2X (100ml),S$19,S$11.90,INNISFREE,"Some superheroes come in capes, while others come in the form of a clay mask like this one from Innisfree! This 6-in-1 clay mask claims to minimize pores, control sebum, exfoliate, deep cleanse, brighten skin tone and cool down the skin. This baby contains volcanic extract and ""super volcanic capsules"" that burst upon application, removing dead skin as it pampers your face with its goodness. The best part? It doesn't contain any mineral oils, animal products, artificial fragrances or imidazolidinyl urea so it won't irritate the skin. No wonder it’s one of Innisfree’s bestsellers, and loved by beauty junkies all over the world!",4.74 stars,828 reviews
Vita Lightbeam Essential Mask EX,S$3.90,S$1.70,MEDIHEAL,"Wind down at the end of the day with a mask that not only soothes and pampers the senses but also brightens your complexion too! Mediheal's Vita Lightbeam Essential Masks are comfortable cellulose sheets soaked in an essence packed with vitamin C to even out the skin tone and lighten dark spots, leaving you with a radiant glow. This moisturizing formula also plumps up and hydrates for smooth, bouncy skin.",4.55 stars,60 reviews
AHA BHA PHA 30 Days Miracle Toner (150ml),S$25,S$15.70,SOME BY MI,NaN,4.55 stars,243 reviews
