name,price,disc_price,brand,product_details,ratings,num_ratings
Water Sleeping Mask (70ml),S$35,S$22.90,LANEIGE,"Wake up beautiful with the world's best-selling sleeping mask! With 1 sold every 12 secs, this light gel mask provides intensive hydration, vitality and brightening effect while restoring skin with deep relaxation. This product contains a number of patents including the SLEEP-TOX™ technology that purifies skin during sleep, keeping it in optimum condition while MOISTURE WRAP™ helps skin retain moisture throughout the night. It also has an aromatic SLEEPSCENT™ helps you relax during sleep. Best of all, it’s also formulated with skin soothing agents that are gentle on the sleeping skin, helping it to recover overnight.",4.83 stars,2035 reviews
Acne Pimple Master Patch (24ea),S$4.50,S$3.70,COSRX,"Stickers are back in! You heard that right, but not for your 90's collection; we're talking about CosRX's Acne Pimple Master Patches for your face. These hydrocolloid spots are acne treatments that draw out impurities from troubled spots, effectively ridding the skin of unwanted bacteria and aiding in a smooth, easy heal. It also seals away the open wound from external bacteria, preventing scarring or secondary infections. Each packet comes with 24 patches in 3 different sizes (7mm, 10mm and 12mm) to blast away just about any sized spot!",4.58 stars,427 reviews
Rose Water Toner (250ml),S$20,S$14.40,MAMONDE,"Roses are a household name when it comes to familiar scents. Not just sweet smelling, MAMONDE Rose Water Toner is made with 90.97% Bulgarian Damask Rosewater that's lovely for soothing and hydrating your skin while cleansing away dirt and dead skin cells. The best thing about this product is it's formulated 3-free: without synthetic pigments, animal oils or mineral oils, making this ideal even for those with sensitive skin. You'll be on your way to rosy skin in no time!",4.77 stars,608 reviews
Power 10 Formula VC Effector (30ml),S$15,S$8.40,IT'S SKIN,"Just like an espresso shot in the morning, IT'S SKIN Power 10 Formulas give your skin a little boost according to your skin's needs. This VC Effector is infused with vitamin C and green tea extracts that lighten dark spots and brightens your complexion. With hydrating properties that smoothen your skin texture as well, it's not hard to see why this is It's Skin's best seller from this range. This lightweight, fast absorbing concentrate applies on without leaving behind any sticky residue so it's super comfortable to wear on the skin. We love the fresh citrusy scent that it comes with too (reminds us of freshly squeezed orange juice!).",4.65 stars,897 reviews
Clean it Zero Cleansing Balm (100ml)_Original,S$22.10,S$16.90,BANILA CO,"We know how difficult and tedious makeup removal is; it can sometimes feel like a war that stubborn waterproof products are winning. Banila Co.'s Clean It Zero Cleansing Balm is our secret weapon to clean, fresh skin! This silky balm melts away dirt, residue and long wearing makeup, emulsifying with water into a milk-coloured solution that washes everything down the drain. Loved by beauty enthusiasts and celebrities alike, the Original version is suitable for all skin types. A definite must-have in your stash that'll keep your skin looking fresh and feeling supple.",4.79 stars,290 reviews
Green Tea Seed Serum (80ml),S$29,S$19.90,INNISFREE,"Green tea does more than give you a midday pick-me-up after a heavy lunch, it's fantastic for your skin too! Innisfree harnessed the goodness of green tea seeds from Jeju island to provide the skin with moisturization and protection from external factors. This concentrate also contains fresh green tea that's rich in amino acids to hydrate the skin from within while preventing moisture loss to keep your skin feeling soft and supple all day.",4.76 stars,941 reviews
Time Revolution The First Treatment Essence Rx (150ml) (Renewal),S$50,S$30.90,MISSHA,NaN,4.76 stars,225 reviews
9Complex Lifting Cream (70g),S$45,S$13.80,GUERISSON,"One of Korea's most raved and loved beauty products, GUERISSON 9Complex Lifting Cream gives your skin serious love with German horse oil that deeply moisturises any part of your body. Formulated with a complex of peppermint, apple mint leaf, sage, rosemary, lavender flower, Melissa Officinalis leaf, chamomile and Monarda Didyma Leaf extracts, this product also soothes irritations while improving cell metabolism, giving your skin horse-like strength for resilience. With Niacinamide and adenosine, this cream also has brightening properties which reduce scars and pigmentation, making you look glowy and radiant.",4.71 stars,781 reviews
Jeju Volcanic Pore Cleansing Foam (150ml),S$11.60,S$8.30,INNISFREE,"Not all face cleansers are created equal, and sometimes you just need a little extra help with dirt and clogged pores. Innisfree's Jeju Volcanic Pore Cleansing Foam is infused with volcanic scoria that has amazing purifying properties, absorbing and controlling the excessive production of sebum on the skin without drying it out, leaving you with fresh, clean skin. We love the luxurious foam this suds up with too!",4.77 stars,775 reviews
Salicylic Acid Daily Gentle Cleanser (150ml),S$12.70,S$10.60,COSRX,"Rough, troubled skin is a definite no-no in our books, and that's why we look to COSRX's Salicylic Acid Exfoliating Gentle Cleanser for some TLC. Getting a cleanser that thoroughly cleanses but doesn't irritate can be a hard balance to strike, but thanks to salicylic acid, this gentle cleanser removes impurities while soothing redness and ensuring the complexion stays hydrated. It also contains natural BHA to exfoliate away dead skin cells while keeping the skin nice and supple to the touch, making it especially great for those of us with sensitive skins.",4.73 stars,536 reviews
